promotion_id,campaign_name,promo_type,discount_value,min_order_value,start_date,end_date,campaign_duration_days,target_segment,campaign_channel,campaign_objective,target_category,expected_response_rate,budget_allocated,cost_per_acquisition,invalid_date_range_flag,negative_discount_flag,invalid_expected_response_rate_flag,invalid_budget_flag,is_valid_date_range
16,Retention_BOGO_16,BOGO,0.0,27.49,2025-06-11,2025-06-17,6,New_Customer,In_App,Retention,Beauty,0.078,9797.02,25.3,False,False,False,False,True
17,Upsell_Free_Shipping_17,Free_Shipping,0.0,0.0,2024-10-08,2024-10-19,11,Low_Value,In_App,Upsell,Unknown,0.107,26418.79,37.96,False,False,False,False,True
18,Acquisition_BOGO_18,BOGO,0.0,5.98,2025-03-30,2025-05-18,49,All_Customers,Website_Banner,Acquisition,Unknown,0.076,26929.89,11.12,False,False,False,False,True
19,Upsell_Fixed_Amount_19,Fixed_Amount,61.24,0.0,2024-08-23,2024-09-05,13,Lapsed,Social,Upsell,Beauty,0.206,16491.99,45.86,False,False,False,False,True
20,Reactivation_Free_Shipping_20,Free_Shipping,0.0,75.47,2025-04-24,2025-05-19,25,Low_Value,Push,Reactivation,Unknown,0.185,14737.63,22.4,False,False,False,False,True
21,Cross_Sell_Fixed_Amount_21,Fixed_Amount,94.41,21.09,2025-07-15,2025-07-30,15,Lapsed,Social,Cross_Sell,Unknown,0.053,6746.57,12.78,False,False,False,False,True
22,Upsell_Percentage_Discount_22,Percentage_Discount,9.4,89.68,2024-10-13,2024-09-27,16,Medium_Value,Email,Upsell,Sports,0.175,4319.59,28.25,True,False,False,False,False
23,Cross_Sell_Free_Shipping_23,Free_Shipping,0.0,0.0,2025-05-20,2025-05-27,7,Medium_Value,SMS,Cross_Sell,Unknown,0.175,10522.37,39.89,False,False,False,False,True
24,Reactivation_BOGO_24,BOGO,0.0,45.9,2025-02-15,2025-03-31,44,New_Customer,Website_Banner,Reactivation,Unknown,0.09,28716.68,11.64,False,False,False,False,True
25,Retention_Fixed_Amount_25,Fixed_Amount,36.5,81.97,2024-07-27,2024-08-09,13,Lapsed,Social,Retention,Unknown,0.151,23891.71,12.88,False,False,False,False,True
26,Cross_Sell_BOGO_26,BOGO,0.0,0.0,2025-02-15,2025-03-07,20,All_Customers,In_App,Cross_Sell,Unknown,0.135,21631.93,38.65,False,False,False,False,True
27,Acquisition_Percentage_Discount_27,Percentage_Discount,31.5,91.26,2024-12-12,2025-01-25,44,Lapsed,Email,Acquisition,Unknown,0.093,21305.11,31.54,False,False,False,False,True
28,Cross_Sell_BOGO_28,BOGO,0.0,48.97,2025-05-22,2025-06-02,11,High_Value,Website_Banner,Cross_Sell,Unknown,0.214,28114.43,21.86,False,False,False,False,True
29,Cross_Sell_Free_Shipping_29,Free_Shipping,0.0,87.56,2024-12-02,2024-12-05,3,Low_Value,Email,Cross_Sell,Unknown,0.147,20830.77,36.5,False,False,False,False,True
30,Acquisition_BOGO_30,BOGO,0.0,0.0,2025-01-25,2025-03-12,46,Low_Value,Email,Acquisition,Books,0.181,31269.1,31.5,False,False,False,False,True
31,Acquisition_BOGO_31,BOGO,0.0,80.24,2025-06-08,2025-06-25,17,Low_Value,Email,Acquisition,Unknown,0.168,6506.19,45.98,False,False,False,False,True
32,Cross_Sell_Fixed_Amount_32,Fixed_Amount,65.83,39.09,2025-07-14,2025-07-21,7,Low_Value,Email,Cross_Sell,Unknown,0.129,10808.96,49.34,False,False,False,False,True
33,Acquisition_BOGO_33,BOGO,0.0,19.49,2025-07-15,2025-08-22,38,Low_Value,Social,Acquisition,Unknown,0.24,27798.45,15.25,False,False,False,False,True
34,Retention_Free_Shipping_34,Free_Shipping,0.0,50.39,2025-05-13,2025-06-03,21,New_Customer,In_App,Retention,Unknown,0.191,46576.82,14.26,False,False,False,False,True
35,Retention_BOGO_35,BOGO,0.0,45.98,2025-07-17,2025-07-25,8,New_Customer,Social,Retention,Books,0.065,49446.03,36.2,False,False,False,False,True
36,Upsell_BOGO_36,BOGO,0.0,69.69,2025-02-23,2025-03-14,19,High_Value,Social,Upsell,Home,0.099,32357.75,25.95,False,False,False,False,True
37,Retention_Free_Shipping_37,Free_Shipping,0.0,0.0,2024-08-25,2024-09-10,16,Lapsed,Push,Retention,Unknown,0.05,49619.67,9.25,False,False,False,False,True
38,Upsell_Fixed_Amount_38,Fixed_Amount,61.49,0.0,2024-12-28,2025-01-14,17,New_Customer,Social,Upsell,Unknown,0.1,24494.99,10.94,False,False,False,False,True
39,Upsell_BOGO_39,BOGO,0.0,,2025-09-26,2025-10-01,5,All_Customers,SMS,Upsell,Books,0.164,4788.7,6.95,False,False,False,False,True
40,Retention_Fixed_Amount_40,Fixed_Amount,41.62,79.32,2024-08-22,2024-09-12,21,All_Customers,Email,Retention,Unknown,0.099,6368.77,5.96,False,False,False,False,True
41,Retention_Free_Shipping_41,Free_Shipping,0.0,0.0,2025-06-21,2025-07-04,13,High_Value,Push,Retention,Home,0.071,9540.99,27.54,False,False,False,False,True
42,Reactivation_Free_Shipping_42,Free_Shipping,0.0,0.0,2025-03-02,2025-04-08,37,High_Value,Push,Reactivation,Unknown,0.232,19098.62,46.22,False,False,False,False,True
43,Retention_Percentage_Discount_43,Percentage_Discount,31.5,0.0,2024-10-11,2024-10-30,19,New_Customer,Email,Retention,Books,0.213,26986.23,6.7,False,False,False,False,True
44,Cross_Sell_Fixed_Amount_44,Fixed_Amount,46.79,79.18,2025-06-01,2025-06-06,5,New_Customer,Social,Cross_Sell,Home,0.141,36751.53,27.19,False,False,False,False,True
45,Retention_Free_Shipping_45,Free_Shipping,0.0,0.0,2025-07-06,2025-07-16,10,Lapsed,Push,Retention,Unknown,0.198,35920.92,42.46,False,False,False,False,True
46,Reactivation_Fixed_Amount_46,Fixed_Amount,24.51,91.4,2025-06-14,2025-07-04,20,Low_Value,SMS,Reactivation,Books,0.105,6258.46,15.0,False,False,False,False,True
47,Acquisition_Percentage_Discount_47,Percentage_Discount,9.1,0.0,2024-10-24,2024-11-15,22,High_Value,SMS,Acquisition,Unknown,0.176,15355.08,34.0,False,False,False,False,True
48,Upsell_Fixed_Amount_48,Fixed_Amount,99.65,4.87,2024-09-17,2024-09-28,11,New_Customer,Push,Upsell,Books,0.183,26762.18,26.6,False,False,False,False,True
49,Reactivation_Percentage_Discount_49,Percentage_Discount,7.2,0.0,2024-10-20,2024-11-21,32,Lapsed,Email,Reactivation,Unknown,0.068,14376.42,5.28,False,False,False,False,True
50,Acquisition_Fixed_Amount_50,Fixed_Amount,44.72,26.23,2024-12-04,2025-01-29,56,Lapsed,Email,Acquisition,Books,0.213,41484.73,36.46,False,False,False,False,True
51,Reactivation_BOGO_51,BOGO,0.0,75.49,2025-02-27,2025-03-22,23,New_Customer,SMS,Reactivation,Home,0.074,39601.4,8.63,False,False,False,False,True
52,Reactivation_Fixed_Amount_52,Fixed_Amount,7.16,36.12,2024-10-15,2024-12-11,57,New_Customer,Social,Reactivation,Unknown,0.097,17608.17,8.51,False,False,False,False,True
53,Upsell_BOGO_53,BOGO,0.0,76.62,2024-12-24,2024-12-27,3,High_Value,Website_Banner,Upsell,Unknown,0.052,16268.16,19.07,False,False,False,False,True
54,Upsell_BOGO_54,BOGO,0.0,59.14,2024-10-13,2024-11-02,20,New_Customer,Email,Upsell,Electronics,0.128,7878.22,21.59,False,False,False,False,True
55,Upsell_Fixed_Amount_55,Fixed_Amount,75.41,15.62,2024-08-14,2024-09-02,19,Low_Value,Social,Upsell,Unknown,0.058,20902.62,15.97,False,False,False,False,True
56,Reactivation_BOGO_56,BOGO,0.0,0.0,2024-08-25,2024-10-10,46,Low_Value,Push,Reactivation,Sports,0.221,2511.57,30.97,False,False,False,False,True
57,Acquisition_Free_Shipping_57,Free_Shipping,0.0,12.85,2025-03-16,2025-04-13,28,Medium_Value,Social,Acquisition,Unknown,0.155,19109.03,25.62,False,False,False,False,True
58,Cross_Sell_BOGO_58,BOGO,0.0,0.0,2025-06-06,2025-06-15,9,New_Customer,In_App,Cross_Sell,Beauty,0.074,4773.34,5.45,False,False,False,False,True
59,Retention_BOGO_59,BOGO,0.0,0.0,2025-07-17,2025-07-21,4,All_Customers,SMS,Retention,Unknown,0.196,39702.58,20.65,False,False,False,False,True
60,Reactivation_Percentage_Discount_60,Percentage_Discount,9.1,56.51,2024-12-07,2024-12-26,19,Lapsed,Email,Reactivation,Unknown,0.174,17106.01,11.74,False,False,False,False,True
61,Upsell_Fixed_Amount_61,Fixed_Amount,33.46,11.56,2025-05-25,2025-06-02,8,Medium_Value,Social,Upsell,Unknown,0.098,44068.24,28.27,False,False,False,False,True
62,Cross_Sell_Fixed_Amount_62,Fixed_Amount,6.36,24.63,2024-11-28,2024-12-16,18,All_Customers,Push,Cross_Sell,Unknown,0.118,1371.5,41.59,False,False,False,False,True
63,Cross_Sell_Fixed_Amount_63,Fixed_Amount,66.27,65.23,2025-06-20,2025-07-06,16,Low_Value,Website_Banner,Cross_Sell,Unknown,0.216,11599.16,21.09,False,False,False,False,True
64,Cross_Sell_Percentage_Discount_64,Percentage_Discount,43.9,34.89,2024-10-07,2024-10-28,21,Medium_Value,Website_Banner,Cross_Sell,Electronics,0.198,5982.76,19.22,False,False,False,False,True
65,Reactivation_BOGO_65,BOGO,0.0,98.37,2024-07-17,2024-08-19,33,Low_Value,Push,Reactivation,Unknown,0.11,18178.99,49.88,False,False,False,False,True
66,Retention_BOGO_66,BOGO,0.0,89.22,2024-12-04,2024-12-14,10,High_Value,Push,Retention,Home,0.089,43412.34,41.78,False,False,False,False,True
67,Upsell_Fixed_Amount_67,Fixed_Amount,33.13,85.48,2025-03-15,2025-04-01,17,Low_Value,Website_Banner,Upsell,Beauty,0.091,11253.22,29.88,False,False,False,False,True
68,Reactivation_Fixed_Amount_68,Fixed_Amount,58.06,77.27,2025-05-15,2025-07-02,48,All_Customers,Email,Reactivation,Beauty,0.108,48125.01,15.16,False,False,False,False,True
69,Reactivation_Free_Shipping_69,Free_Shipping,0.0,0.0,2025-03-18,2025-04-22,35,Low_Value,SMS,Reactivation,Electronics,0.106,5626.91,25.08,False,False,False,False,True
70,Cross_Sell_Fixed_Amount_70,Fixed_Amount,36.69,78.53,2025-07-04,2025-07-19,15,Medium_Value,Push,Cross_Sell,Unknown,0.171,45565.38,33.28,False,False,False,False,True
71,Reactivation_Fixed_Amount_71,Fixed_Amount,9.8,51.87,2025-02-14,2025-01-14,31,Lapsed,In_App,Reactivation,Unknown,0.211,10570.74,7.91,True,False,False,False,False
72,Reactivation_Free_Shipping_72,Free_Shipping,0.0,75.76,2024-11-26,2025-01-04,39,New_Customer,SMS,Reactivation,Unknown,0.117,21840.01,35.81,False,False,False,False,True
73,Upsell_Fixed_Amount_73,Fixed_Amount,32.01,,2025-02-09,2025-02-27,18,Medium_Value,Social,Upsell,Unknown,0.064,25785.55,40.06,False,False,False,False,True
74,Retention_Fixed_Amount_74,Fixed_Amount,43.09,51.12,2024-08-25,2024-09-01,7,Lapsed,Website_Banner,Retention,Unknown,0.201,4855.81,18.82,False,False,False,False,True
75,Cross_Sell_Free_Shipping_75,Free_Shipping,0.0,92.68,2024-10-28,2024-11-06,9,Low_Value,In_App,Cross_Sell,Unknown,0.242,14556.37,40.2,False,False,False,False,True
76,Acquisition_Free_Shipping_76,Free_Shipping,0.0,50.26,2025-01-10,2025-02-17,38,Medium_Value,Email,Acquisition,Books,0.077,41328.43,38.72,False,False,False,False,True
77,Acquisition_Free_Shipping_77,Free_Shipping,0.0,27.63,2024-07-23,2024-09-13,52,All_Customers,SMS,Acquisition,Clothing,0.202,8416.79,46.96,False,False,False,False,True
78,Reactivation_BOGO_78,BOGO,0.0,97.5,2025-05-14,2025-07-11,58,Lapsed,Email,Reactivation,Sports,0.078,14945.83,26.82,False,False,False,False,True
79,Reactivation_Free_Shipping_79,Free_Shipping,0.0,0.0,2025-08-18,2025-09-10,23,Low_Value,SMS,Reactivation,Unknown,0.131,21501.44,13.64,False,False,False,False,True
80,Cross_Sell_BOGO_80,BOGO,0.0,10.54,2025-04-19,2025-05-08,19,All_Customers,Push,Cross_Sell,Unknown,0.189,45866.95,39.74,False,False,False,False,True
81,Upsell_BOGO_81,BOGO,0.0,0.0,2024-11-11,2024-11-27,16,Low_Value,Email,Upsell,Home,0.17,20669.45,27.45,False,False,False,False,True
82,Reactivation_Percentage_Discount_82,Percentage_Discount,46.7,56.47,2024-10-30,2024-12-16,47,All_Customers,Website_Banner,Reactivation,Unknown,0.078,16079.87,22.32,False,False,False,False,True
83,Reactivation_Fixed_Amount_83,Fixed_Amount,79.4,0.0,2024-10-22,2024-12-06,45,Low_Value,Social,Reactivation,Clothing,0.175,15086.65,20.78,False,False,False,False,True
84,Cross_Sell_Percentage_Discount_84,Percentage_Discount,5.4,86.5,2024-09-30,2024-10-12,12,All_Customers,SMS,Cross_Sell,Clothing,0.206,8064.75,24.27,False,False,False,False,True
85,Retention_Fixed_Amount_85,Fixed_Amount,34.43,28.5,2025-07-15,2025-08-05,21,Lapsed,Social,Retention,Beauty,0.103,42621.87,43.11,False,False,False,False,True
86,Cross_Sell_Free_Shipping_86,Free_Shipping,0.0,87.54,2025-04-28,2025-05-14,16,All_Customers,Email,Cross_Sell,Books,0.24,21392.09,29.07,False,False,False,False,True
87,Upsell_Free_Shipping_87,Free_Shipping,0.0,52.39,2024-10-06,2024-10-18,12,All_Customers,Website_Banner,Upsell,Unknown,0.235,19121.5,11.09,False,False,False,False,True
88,Reactivation_Fixed_Amount_88,Fixed_Amount,73.88,97.18,2025-04-17,2025-06-09,53,Low_Value,SMS,Reactivation,Electronics,0.091,2794.71,24.34,False,False,False,False,True
89,Acquisition_Free_Shipping_89,Free_Shipping,0.0,0.0,2024-10-20,2024-11-13,24,High_Value,SMS,Acquisition,Unknown,0.081,23254.25,19.91,False,False,False,False,True
90,Upsell_Fixed_Amount_90,Fixed_Amount,21.91,52.63,2025-04-16,2025-05-01,15,Medium_Value,Website_Banner,Upsell,Beauty,0.198,28620.47,37.22,False,False,False,False,True
91,Retention_Free_Shipping_91,Free_Shipping,0.0,65.44,2024-11-13,2024-11-23,10,Medium_Value,Website_Banner,Retention,Unknown,0.136,12150.75,10.8,False,False,False,False,True
92,Acquisition_Fixed_Amount_92,Fixed_Amount,25.24,0.0,2025-05-13,2025-06-29,47,Lapsed,Social,Acquisition,Unknown,0.153,17605.65,46.75,False,False,False,False,True
93,Reactivation_BOGO_93,BOGO,0.0,55.8,2025-02-17,2025-03-03,14,Lapsed,Push,Reactivation,Clothing,0.164,36325.3,42.34,False,False,False,False,True
94,Upsell_Fixed_Amount_94,Fixed_Amount,73.42,11.35,2025-01-31,2025-02-10,10,New_Customer,Email,Upsell,Unknown,0.223,8055.02,15.34,False,False,False,False,True
95,Reactivation_Percentage_Discount_95,Percentage_Discount,24.1,32.93,2024-10-08,2024-11-26,49,Low_Value,In_App,Reactivation,Sports,0.182,1322.85,19.67,False,False,False,False,True
96,Reactivation_Fixed_Amount_96,Fixed_Amount,95.81,20.02,2024-11-19,2024-12-08,19,Low_Value,SMS,Reactivation,Unknown,0.25,18605.29,42.96,False,False,False,False,True
97,Reactivation_BOGO_97,BOGO,0.0,77.39,2025-02-27,2025-03-19,20,Lapsed,Social,Reactivation,Unknown,0.178,7539.65,16.22,False,False,False,False,True
98,Reactivation_BOGO_98,BOGO,0.0,81.88,2025-05-25,2025-07-18,54,Low_Value,SMS,Reactivation,Unknown,0.245,25793.99,31.95,False,False,False,False,True
99,Reactivation_Percentage_Discount_99,Percentage_Discount,6.5,9.17,2024-08-10,2024-09-26,47,Low_Value,In_App,Reactivation,Unknown,0.236,19631.17,19.51,False,False,False,False,True
100,Reactivation_BOGO_100,BOGO,0.0,23.22,2025-07-03,2025-08-03,31,Low_Value,Social,Reactivation,Electronics,0.105,34801.19,6.69,False,False,False,False,True
101,Retention_BOGO_101,BOGO,0.0,24.94,2024-09-02,2024-09-17,15,All_Customers,In_App,Retention,Beauty,0.216,5234.13,20.27,False,False,False,False,True
102,Cross_Sell_Free_Shipping_102,Free_Shipping,0.0,0.0,2025-02-16,2025-03-03,15,Lapsed,SMS,Cross_Sell,Unknown,0.191,1868.43,10.87,False,False,False,False,True
103,Reactivation_Percentage_Discount_103,Percentage_Discount,11.9,45.66,2024-08-07,2024-09-11,35,Lapsed,SMS,Reactivation,Unknown,0.233,41158.42,36.33,False,False,False,False,True
104,Retention_BOGO_104,BOGO,0.0,16.54,2024-12-30,2025-01-05,6,Low_Value,Social,Retention,Books,0.148,48487.2,38.86,False,False,False,False,True
105,Reactivation_Free_Shipping_105,Free_Shipping,0.0,0.0,2024-08-12,2024-09-17,36,Low_Value,Email,Reactivation,Beauty,0.115,32561.12,8.05,False,False,False,False,True
106,Acquisition_BOGO_106,BOGO,0.0,,2024-12-30,2025-01-23,24,Lapsed,SMS,Acquisition,Beauty,0.087,15814.98,43.66,False,False,False,False,True
107,Cross_Sell_Fixed_Amount_107,Fixed_Amount,13.87,,2025-07-03,2025-07-24,21,All_Customers,Website_Banner,Cross_Sell,Home,0.213,7571.21,17.16,False,False,False,False,True
108,Upsell_Fixed_Amount_108,Fixed_Amount,57.8,17.96,2025-01-02,2025-01-05,3,Medium_Value,In_App,Upsell,Beauty,0.243,38022.59,17.22,False,False,False,False,True
109,Acquisition_Free_Shipping_109,Free_Shipping,0.0,31.24,2025-04-02,2025-03-05,28,Lapsed,Email,Acquisition,Home,0.207,48258.49,17.31,True,False,False,False,False
110,Reactivation_Fixed_Amount_110,Fixed_Amount,58.99,15.93,2024-11-29,2024-12-22,23,High_Value,SMS,Reactivation,Unknown,0.183,42377.14,21.0,False,False,False,False,True
111,Retention_BOGO_111,BOGO,0.0,0.0,2024-08-22,2024-09-10,19,Lapsed,Website_Banner,Retention,Unknown,0.099,32250.2,44.27,False,False,False,False,True
112,Acquisition_Free_Shipping_112,Free_Shipping,0.0,80.22,2025-02-05,2025-02-28,23,High_Value,SMS,Acquisition,Unknown,0.128,32244.3,7.61,False,False,False,False,True
113,Acquisition_Percentage_Discount_113,Percentage_Discount,39.4,99.52,2025-02-04,2025-03-24,48,All_Customers,Social,Acquisition,Beauty,0.187,27909.02,48.36,False,False,False,False,True
114,Reactivation_Fixed_Amount_114,Fixed_Amount,49.59,40.44,2024-08-25,2024-10-04,40,Lapsed,Email,Reactivation,Clothing,0.196,29464.52,18.52,False,False,False,False,True
115,Reactivation_BOGO_115,BOGO,0.0,28.66,2025-06-24,2025-07-16,22,New_Customer,Social,Reactivation,Unknown,0.063,24870.74,10.35,False,False,False,False,True
116,Upsell_BOGO_116,BOGO,0.0,20.11,2024-08-03,2024-08-18,15,New_Customer,In_App,Upsell,Unknown,0.169,45485.65,8.96,False,False,False,False,True
117,Reactivation_Free_Shipping_117,Free_Shipping,0.0,15.35,2025-06-16,2025-08-01,46,All_Customers,Push,Reactivation,Home,0.116,47226.65,15.92,False,False,False,False,True
118,Retention_BOGO_118,BOGO,0.0,82.47,2024-08-13,2024-08-22,9,High_Value,In_App,Retention,Electronics,0.239,42428.97,28.8,False,False,False,False,True
119,Acquisition_Percentage_Discount_119,Percentage_Discount,41.0,21.15,2025-01-09,2025-02-28,50,All_Customers,Website_Banner,Acquisition,Unknown,0.174,29944.76,44.56,False,False,False,False,True
120,Acquisition_Free_Shipping_120,Free_Shipping,0.0,41.6,2024-07-22,2024-09-02,42,Low_Value,Push,Acquisition,Home,0.12,7003.87,36.27,False,False,False,False,True
121,Cross_Sell_Free_Shipping_121,Free_Shipping,0.0,7.32,2025-05-20,2025-06-05,16,Lapsed,Website_Banner,Cross_Sell,Unknown,0.106,22201.25,31.45,False,False,False,False,True
122,Cross_Sell_Percentage_Discount_122,Percentage_Discount,43.0,66.43,2025-03-14,2025-04-04,21,Low_Value,Social,Cross_Sell,Unknown,0.209,9350.71,33.13,False,False,False,False,True
123,Upsell_BOGO_123,BOGO,0.0,88.14,2024-07-20,2024-07-24,4,New_Customer,Push,Upsell,Electronics,0.219,7710.95,47.06,False,False,False,False,True
124,Upsell_Free_Shipping_124,Free_Shipping,0.0,58.62,2025-06-01,2025-06-18,17,Medium_Value,Website_Banner,Upsell,Unknown,0.214,4386.1,16.75,False,False,False,False,True
125,Reactivation_BOGO_125,BOGO,0.0,70.09,2024-12-08,2025-02-04,58,All_Customers,Email,Reactivation,Sports,0.137,46805.89,37.73,False,False,False,False,True
126,Cross_Sell_Percentage_Discount_126,Percentage_Discount,13.8,0.0,2024-07-28,2024-08-14,17,High_Value,Email,Cross_Sell,Unknown,0.193,39101.58,27.88,False,False,False,False,True
127,Retention_Fixed_Amount_127,Fixed_Amount,82.17,0.0,2024-09-13,2024-09-23,10,High_Value,In_App,Retention,Unknown,0.112,18831.77,15.39,False,False,False,False,True
128,Cross_Sell_Free_Shipping_128,Free_Shipping,0.0,0.0,2025-02-26,2025-03-16,18,All_Customers,SMS,Cross_Sell,Books,0.182,2767.16,27.52,False,False,False,False,True
129,Reactivation_Fixed_Amount_129,Fixed_Amount,80.63,83.41,2024-10-15,2024-11-23,39,High_Value,In_App,Reactivation,Sports,0.203,47305.96,28.35,False,False,False,False,True
130,Acquisition_Percentage_Discount_130,Percentage_Discount,23.3,7.19,2024-11-08,2024-12-29,51,Medium_Value,Website_Banner,Acquisition,Unknown,0.187,27607.31,39.62,False,False,False,False,True
131,Upsell_Fixed_Amount_131,Fixed_Amount,60.44,34.58,2025-05-27,2025-06-08,12,New_Customer,SMS,Upsell,Unknown,0.057,31407.69,46.99,False,False,False,False,True
132,Reactivation_Percentage_Discount_132,Percentage_Discount,20.6,60.82,2024-08-18,2024-10-06,49,Medium_Value,Website_Banner,Reactivation,Unknown,0.064,6509.21,16.22,False,False,False,False,True
133,Cross_Sell_Free_Shipping_133,Free_Shipping,0.0,15.08,2024-10-26,2024-10-31,5,All_Customers,In_App,Cross_Sell,Books,0.093,33789.44,14.77,False,False,False,False,True
134,Upsell_Percentage_Discount_134,Percentage_Discount,18.8,58.06,2024-12-24,2025-01-01,8,New_Customer,Social,Upsell,Unknown,0.213,48291.23,42.79,False,False,False,False,True
135,Retention_Free_Shipping_135,Free_Shipping,0.0,0.0,2024-10-25,2024-11-01,7,Low_Value,Push,Retention,Electronics,0.207,20748.69,27.81,False,False,False,False,True
136,Acquisition_Free_Shipping_136,Free_Shipping,0.0,0.0,2025-03-04,2025-03-23,19,New_Customer,Social,Acquisition,Unknown,0.149,25574.86,26.58,False,False,False,False,True
137,Upsell_Fixed_Amount_137,Fixed_Amount,48.3,15.01,2025-08-24,2025-09-10,17,High_Value,Email,Upsell,Unknown,0.092,18233.76,29.67,False,False,False,False,True
138,Upsell_Free_Shipping_138,Free_Shipping,0.0,8.8,2025-05-24,2025-06-12,19,Low_Value,Email,Upsell,Unknown,0.051,47915.72,38.86,False,False,False,False,True
139,Retention_BOGO_139,BOGO,0.0,45.28,2024-07-14,2024-07-29,15,New_Customer,Push,Retention,Sports,0.216,3807.73,7.09,False,False,False,False,True
140,Upsell_BOGO_140,BOGO,0.0,55.25,2025-04-04,2025-04-07,3,Lapsed,Email,Upsell,Unknown,0.168,26753.16,36.17,False,False,False,False,True
141,Acquisition_BOGO_141,BOGO,0.0,,2025-03-31,2025-05-14,44,Low_Value,Email,Acquisition,Unknown,0.105,45837.01,11.81,False,False,False,False,True
142,Cross_Sell_Percentage_Discount_142,Percentage_Discount,15.3,34.65,2025-01-16,2025-01-20,4,Medium_Value,Push,Cross_Sell,Home,0.124,14317.82,29.54,False,False,False,False,True
143,Reactivation_Percentage_Discount_143,Percentage_Discount,22.1,66.65,2024-07-21,2024-09-06,47,New_Customer,Email,Reactivation,Clothing,0.205,12179.9,33.52,False,False,False,False,True
144,Upsell_Free_Shipping_144,Free_Shipping,0.0,80.19,2024-09-06,2024-09-18,12,All_Customers,In_App,Upsell,Beauty,0.201,41439.63,15.26,False,False,False,False,True
145,Reactivation_Fixed_Amount_145,Fixed_Amount,23.22,0.0,2024-09-13,2024-10-10,27,Lapsed,In_App,Reactivation,Electronics,0.229,2679.19,17.85,False,False,False,False,True
146,Reactivation_BOGO_146,BOGO,0.0,2.92,2025-06-02,2025-07-19,47,Medium_Value,Social,Reactivation,Unknown,0.237,10853.56,33.37,False,False,False,False,True
147,Upsell_Fixed_Amount_147,Fixed_Amount,77.54,0.0,2025-04-08,2025-04-17,9,Low_Value,Email,Upsell,Unknown,0.25,33464.35,28.42,False,False,False,False,True
148,Reactivation_Percentage_Discount_148,Percentage_Discount,45.6,,2024-09-24,2024-10-27,33,High_Value,Email,Reactivation,Unknown,0.133,1541.01,46.2,False,False,False,False,True
