promotion_id,campaign_name,promo_type,discount_value,min_order_value,start_date,end_date,campaign_duration_days,target_segment,campaign_channel,campaign_objective,target_category,expected_response_rate,total_orders,total_customers,total_revenue,total_items_sold,avg_order_value,attributed_orders,attributed_revenue,budget_allocated,cost_per_acquisition,estimated_cpa,revenue_per_budget,campaign_status,invalid_date_range_flag,negative_discount_flag,invalid_expected_response_rate_flag,invalid_budget_flag
11,Reactivation_Free_Shipping_11,Free_Shipping,0.0,20.08,2025-06-27,2025-08-13,47,Low_Value,Website_Banner,Reactivation,Unknown,0.07,0,0,0.0,0,,0,0.0,22533.28,38.8,,0.0,Completed,False,False,False,False
12,Acquisition_BOGO_12,BOGO,0.0,14.01,2024-08-03,2024-09-11,39,Low_Value,In_App,Acquisition,Clothing,0.059,4,4,295.63,20,73.9075,4,295.63,1148.11,12.03,287.03,0.2575,Completed,False,False,False,False
13,Acquisition_Percentage_Discount_13,Percentage_Discount,43.1,86.05,2024-09-06,2024-09-26,20,Low_Value,SMS,Acquisition,Home,0.225,6,5,533.19,44,88.865,6,533.19,29445.68,9.93,5889.14,0.0181,Completed,False,False,False,False
14,Retention_Fixed_Amount_14,Fixed_Amount,5.74,14.53,2025-03-24,2025-04-02,9,All_Customers,Website_Banner,Retention,Unknown,0.16,1,1,228.6,4,228.6,1,228.6,26121.37,23.48,26121.37,0.0088,Completed,False,False,False,False
15,Reactivation_Percentage_Discount_15,Percentage_Discount,20.7,23.41,2024-12-14,2025-02-09,57,High_Value,Push,Reactivation,Unknown,0.236,3,3,913.31,13,304.43666666666667,3,913.31,12534.48,22.73,4178.16,0.0729,Completed,False,False,False,False
16,Retention_BOGO_16,BOGO,0.0,27.49,2025-06-11,2025-06-17,6,New_Customer,In_App,Retention,Beauty,0.078,0,0,0.0,0,,0,0.0,9797.02,25.3,,0.0,Completed,False,False,False,False
17,Upsell_Free_Shipping_17,Free_Shipping,0.0,0.0,2024-10-08,2024-10-19,11,Low_Value,In_App,Upsell,Unknown,0.107,3,3,263.11,4,87.70333333333333,3,263.11,26418.79,37.96,8806.26,0.01,Completed,False,False,False,False
18,Acquisition_BOGO_18,BOGO,0.0,5.98,2025-03-30,2025-05-18,49,All_Customers,Website_Banner,Acquisition,Unknown,0.076,10,10,1589.01,51,158.901,10,1589.01,26929.89,11.12,2692.99,0.059,Completed,False,False,False,False
19,Upsell_Fixed_Amount_19,Fixed_Amount,61.24,0.0,2024-08-23,2024-09-05,13,Lapsed,Social,Upsell,Beauty,0.206,0,0,0.0,0,,0,0.0,16491.99,45.86,,0.0,Completed,False,False,False,False
20,Reactivation_Free_Shipping_20,Free_Shipping,0.0,75.47,2025-04-24,2025-05-19,25,Low_Value,Push,Reactivation,Unknown,0.185,3,3,275.49,23,91.83,3,275.49,14737.63,22.4,4912.54,0.0187,Completed,False,False,False,False
21,Cross_Sell_Fixed_Amount_21,Fixed_Amount,94.41,21.09,2025-07-15,2025-07-30,15,Lapsed,Social,Cross_Sell,Unknown,0.053,0,0,0.0,0,,0,0.0,6746.57,12.78,,0.0,Completed,False,False,False,False
22,Upsell_Percentage_Discount_22,Percentage_Discount,9.4,89.68,2024-10-13,2024-09-27,16,Medium_Value,Email,Upsell,Sports,0.175,0,0,0.0,0,,0,0.0,4319.59,28.25,,0.0,Completed,True,False,False,False
23,Cross_Sell_Free_Shipping_23,Free_Shipping,0.0,0.0,2025-05-20,2025-05-27,7,Medium_Value,SMS,Cross_Sell,Unknown,0.175,0,0,0.0,0,,0,0.0,10522.37,39.89,,0.0,Completed,False,False,False,False
24,Reactivation_BOGO_24,BOGO,0.0,45.9,2025-02-15,2025-03-31,44,New_Customer,Website_Banner,Reactivation,Unknown,0.09,0,0,0.0,0,,0,0.0,28716.68,11.64,,0.0,Completed,False,False,False,False
25,Retention_Fixed_Amount_25,Fixed_Amount,36.5,81.97,2024-07-27,2024-08-09,13,Lapsed,Social,Retention,Unknown,0.151,0,0,0.0,0,,0,0.0,23891.71,12.88,,0.0,Completed,False,False,False,False
26,Cross_Sell_BOGO_26,BOGO,0.0,0.0,2025-02-15,2025-03-07,20,All_Customers,In_App,Cross_Sell,Unknown,0.135,1,1,117.69,3,117.69,1,117.69,21631.93,38.65,21631.93,0.0054,Completed,False,False,False,False
27,Acquisition_Percentage_Discount_27,Percentage_Discount,31.5,91.26,2024-12-12,2025-01-25,44,Lapsed,Email,Acquisition,Unknown,0.093,0,0,0.0,0,,0,0.0,21305.11,31.54,,0.0,Completed,False,False,False,False
28,Cross_Sell_BOGO_28,BOGO,0.0,48.97,2025-05-22,2025-06-02,11,High_Value,Website_Banner,Cross_Sell,Unknown,0.214,0,0,0.0,0,,0,0.0,28114.43,21.86,,0.0,Completed,False,False,False,False
29,Cross_Sell_Free_Shipping_29,Free_Shipping,0.0,87.56,2024-12-02,2024-12-05,3,Low_Value,Email,Cross_Sell,Unknown,0.147,0,0,0.0,0,,0,0.0,20830.77,36.5,,0.0,Completed,False,False,False,False
30,Acquisition_BOGO_30,BOGO,0.0,0.0,2025-01-25,2025-03-12,46,Low_Value,Email,Acquisition,Books,0.181,4,4,349.93,32,87.4825,4,349.93,31269.1,31.5,7817.28,0.0112,Completed,False,False,False,False
31,Acquisition_BOGO_31,BOGO,0.0,80.24,2025-06-08,2025-06-25,17,Low_Value,Email,Acquisition,Unknown,0.168,3,3,317.85,13,105.95,3,317.85,6506.19,45.98,2168.73,0.0489,Completed,False,False,False,False
32,Cross_Sell_Fixed_Amount_32,Fixed_Amount,65.83,39.09,2025-07-14,2025-07-21,7,Low_Value,Email,Cross_Sell,Unknown,0.129,0,0,0.0,0,,0,0.0,10808.96,49.34,,0.0,Completed,False,False,False,False
33,Acquisition_BOGO_33,BOGO,0.0,19.49,2025-07-15,2025-08-22,38,Low_Value,Social,Acquisition,Unknown,0.24,0,0,0.0,0,,0,0.0,27798.45,15.25,,0.0,Completed,False,False,False,False
34,Retention_Free_Shipping_34,Free_Shipping,0.0,50.39,2025-05-13,2025-06-03,21,New_Customer,In_App,Retention,Unknown,0.191,1,1,105.16,4,105.16,1,105.16,46576.82,14.26,46576.82,0.0023,Completed,False,False,False,False
35,Retention_BOGO_35,BOGO,0.0,45.98,2025-07-17,2025-07-25,8,New_Customer,Social,Retention,Books,0.065,0,0,0.0,0,,0,0.0,49446.03,36.2,,0.0,Completed,False,False,False,False
36,Upsell_BOGO_36,BOGO,0.0,69.69,2025-02-23,2025-03-14,19,High_Value,Social,Upsell,Home,0.099,0,0,0.0,4,,0,0.0,32357.75,25.95,,0.0,Completed,False,False,False,False
37,Retention_Free_Shipping_37,Free_Shipping,0.0,0.0,2024-08-25,2024-09-10,16,Lapsed,Push,Retention,Unknown,0.05,0,0,0.0,0,,0,0.0,49619.67,9.25,,0.0,Completed,False,False,False,False
38,Upsell_Fixed_Amount_38,Fixed_Amount,61.49,0.0,2024-12-28,2025-01-14,17,New_Customer,Social,Upsell,Unknown,0.1,3,3,438.92,9,146.30666666666667,3,438.92,24494.99,10.94,8165.0,0.0179,Completed,False,False,False,False
39,Upsell_BOGO_39,BOGO,0.0,,2025-09-26,2025-10-01,5,All_Customers,SMS,Upsell,Books,0.164,0,0,0.0,0,,0,0.0,4788.7,6.95,,0.0,Completed,False,False,False,False
40,Retention_Fixed_Amount_40,Fixed_Amount,41.62,79.32,2024-08-22,2024-09-12,21,All_Customers,Email,Retention,Unknown,0.099,9,9,1843.39,72,204.82111111111112,9,1843.39,6368.77,5.96,707.64,0.2894,Completed,False,False,False,False
41,Retention_Free_Shipping_41,Free_Shipping,0.0,0.0,2025-06-21,2025-07-04,13,High_Value,Push,Retention,Home,0.071,2,2,481.05,4,240.525,2,481.05,9540.99,27.54,4770.5,0.0504,Completed,False,False,False,False
42,Reactivation_Free_Shipping_42,Free_Shipping,0.0,0.0,2025-03-02,2025-04-08,37,High_Value,Push,Reactivation,Unknown,0.232,0,0,0.0,1,,0,0.0,19098.62,46.22,,0.0,Completed,False,False,False,False
43,Retention_Percentage_Discount_43,Percentage_Discount,31.5,0.0,2024-10-11,2024-10-30,19,New_Customer,Email,Retention,Books,0.213,5,5,817.38,36,163.476,5,817.38,26986.23,6.7,5397.25,0.0303,Completed,False,False,False,False
44,Cross_Sell_Fixed_Amount_44,Fixed_Amount,46.79,79.18,2025-06-01,2025-06-06,5,New_Customer,Social,Cross_Sell,Home,0.141,0,0,0.0,0,,0,0.0,36751.53,27.19,,0.0,Completed,False,False,False,False
45,Retention_Free_Shipping_45,Free_Shipping,0.0,0.0,2025-07-06,2025-07-16,10,Lapsed,Push,Retention,Unknown,0.198,0,0,0.0,0,,0,0.0,35920.92,42.46,,0.0,Completed,False,False,False,False
46,Reactivation_Fixed_Amount_46,Fixed_Amount,24.51,91.4,2025-06-14,2025-07-04,20,Low_Value,SMS,Reactivation,Books,0.105,3,3,232.24,18,77.41333333333333,3,232.24,6258.46,15.0,2086.15,0.0371,Completed,False,False,False,False
47,Acquisition_Percentage_Discount_47,Percentage_Discount,9.1,0.0,2024-10-24,2024-11-15,22,High_Value,SMS,Acquisition,Unknown,0.176,0,0,0.0,4,,0,0.0,15355.08,34.0,,0.0,Completed,False,False,False,False
48,Upsell_Fixed_Amount_48,Fixed_Amount,99.65,4.87,2024-09-17,2024-09-28,11,New_Customer,Push,Upsell,Books,0.183,3,3,454.44,20,151.48,3,454.44,26762.18,26.6,8920.73,0.017,Completed,False,False,False,False
49,Reactivation_Percentage_Discount_49,Percentage_Discount,7.2,0.0,2024-10-20,2024-11-21,32,Lapsed,Email,Reactivation,Unknown,0.068,0,0,0.0,0,,0,0.0,14376.42,5.28,,0.0,Completed,False,False,False,False
50,Acquisition_Fixed_Amount_50,Fixed_Amount,44.72,26.23,2024-12-04,2025-01-29,56,Lapsed,Email,Acquisition,Books,0.213,0,0,0.0,0,,0,0.0,41484.73,36.46,,0.0,Completed,False,False,False,False
51,Reactivation_BOGO_51,BOGO,0.0,75.49,2025-02-27,2025-03-22,23,New_Customer,SMS,Reactivation,Home,0.074,2,2,403.29,13,201.645,2,403.29,39601.4,8.63,19800.7,0.0102,Completed,False,False,False,False
52,Reactivation_Fixed_Amount_52,Fixed_Amount,7.16,36.12,2024-10-15,2024-12-11,57,New_Customer,Social,Reactivation,Unknown,0.097,12,12,1573.19,46,131.09916666666666,12,1573.19,17608.17,8.51,1467.35,0.0893,Completed,False,False,False,False
53,Upsell_BOGO_53,BOGO,0.0,76.62,2024-12-24,2024-12-27,3,High_Value,Website_Banner,Upsell,Unknown,0.052,0,0,0.0,0,,0,0.0,16268.16,19.07,,0.0,Completed,False,False,False,False
54,Upsell_BOGO_54,BOGO,0.0,59.14,2024-10-13,2024-11-02,20,New_Customer,Email,Upsell,Electronics,0.128,1,1,84.91,3,84.91,1,84.91,7878.22,21.59,7878.22,0.0108,Completed,False,False,False,False
55,Upsell_Fixed_Amount_55,Fixed_Amount,75.41,15.62,2024-08-14,2024-09-02,19,Low_Value,Social,Upsell,Unknown,0.058,0,0,0.0,0,,0,0.0,20902.62,15.97,,0.0,Completed,False,False,False,False
56,Reactivation_BOGO_56,BOGO,0.0,0.0,2024-08-25,2024-10-10,46,Low_Value,Push,Reactivation,Sports,0.221,5,5,456.96,28,91.392,5,456.96,2511.57,30.97,502.31,0.1819,Completed,False,False,False,False
57,Acquisition_Free_Shipping_57,Free_Shipping,0.0,12.85,2025-03-16,2025-04-13,28,Medium_Value,Social,Acquisition,Unknown,0.155,3,3,626.53,19,208.84333333333333,3,626.53,19109.03,25.62,6369.68,0.0328,Completed,False,False,False,False
58,Cross_Sell_BOGO_58,BOGO,0.0,0.0,2025-06-06,2025-06-15,9,New_Customer,In_App,Cross_Sell,Beauty,0.074,1,1,83.75,1,83.75,1,83.75,4773.34,5.45,4773.34,0.0175,Completed,False,False,False,False
59,Retention_BOGO_59,BOGO,0.0,0.0,2025-07-17,2025-07-21,4,All_Customers,SMS,Retention,Unknown,0.196,0,0,0.0,0,,0,0.0,39702.58,20.65,,0.0,Completed,False,False,False,False
60,Reactivation_Percentage_Discount_60,Percentage_Discount,9.1,56.51,2024-12-07,2024-12-26,19,Lapsed,Email,Reactivation,Unknown,0.174,0,0,0.0,0,,0,0.0,17106.01,11.74,,0.0,Completed,False,False,False,False
61,Upsell_Fixed_Amount_61,Fixed_Amount,33.46,11.56,2025-05-25,2025-06-02,8,Medium_Value,Social,Upsell,Unknown,0.098,0,0,0.0,0,,0,0.0,44068.24,28.27,,0.0,Completed,False,False,False,False
62,Cross_Sell_Fixed_Amount_62,Fixed_Amount,6.36,24.63,2024-11-28,2024-12-16,18,All_Customers,Push,Cross_Sell,Unknown,0.118,3,3,657.59,27,219.19666666666666,3,657.59,1371.5,41.59,457.17,0.4795,Completed,False,False,False,False
63,Cross_Sell_Fixed_Amount_63,Fixed_Amount,66.27,65.23,2025-06-20,2025-07-06,16,Low_Value,Website_Banner,Cross_Sell,Unknown,0.216,2,2,184.47,5,92.235,2,184.47,11599.16,21.09,5799.58,0.0159,Completed,False,False,False,False
64,Cross_Sell_Percentage_Discount_64,Percentage_Discount,43.9,34.89,2024-10-07,2024-10-28,21,Medium_Value,Website_Banner,Cross_Sell,Electronics,0.198,2,2,453.5,5,226.75,2,453.5,5982.76,19.22,2991.38,0.0758,Completed,False,False,False,False
65,Reactivation_BOGO_65,BOGO,0.0,98.37,2024-07-17,2024-08-19,33,Low_Value,Push,Reactivation,Unknown,0.11,8,8,764.06,50,95.5075,8,764.06,18178.99,49.88,2272.37,0.042,Completed,False,False,False,False
66,Retention_BOGO_66,BOGO,0.0,89.22,2024-12-04,2024-12-14,10,High_Value,Push,Retention,Home,0.089,0,0,0.0,0,,0,0.0,43412.34,41.78,,0.0,Completed,False,False,False,False
67,Upsell_Fixed_Amount_67,Fixed_Amount,33.13,85.48,2025-03-15,2025-04-01,17,Low_Value,Website_Banner,Upsell,Beauty,0.091,1,1,54.69,2,54.69,1,54.69,11253.22,29.88,11253.22,0.0049,Completed,False,False,False,False
68,Reactivation_Fixed_Amount_68,Fixed_Amount,58.06,77.27,2025-05-15,2025-07-02,48,All_Customers,Email,Reactivation,Beauty,0.108,23,21,5339.5,139,232.15217391304347,23,5339.5,48125.01,15.16,2291.67,0.111,Completed,False,False,False,False
69,Reactivation_Free_Shipping_69,Free_Shipping,0.0,0.0,2025-03-18,2025-04-22,35,Low_Value,SMS,Reactivation,Electronics,0.106,3,3,322.86,26,107.62,3,322.86,5626.91,25.08,1875.64,0.0574,Completed,False,False,False,False
70,Cross_Sell_Fixed_Amount_70,Fixed_Amount,36.69,78.53,2025-07-04,2025-07-19,15,Medium_Value,Push,Cross_Sell,Unknown,0.171,0,0,0.0,0,,0,0.0,45565.38,33.28,,0.0,Completed,False,False,False,False
71,Reactivation_Fixed_Amount_71,Fixed_Amount,9.8,51.87,2025-02-14,2025-01-14,31,Lapsed,In_App,Reactivation,Unknown,0.211,0,0,0.0,0,,0,0.0,10570.74,7.91,,0.0,Completed,True,False,False,False
72,Reactivation_Free_Shipping_72,Free_Shipping,0.0,75.76,2024-11-26,2025-01-04,39,New_Customer,SMS,Reactivation,Unknown,0.117,3,3,358.96,16,119.65333333333334,3,358.96,21840.01,35.81,7280.0,0.0164,Completed,False,False,False,False
73,Upsell_Fixed_Amount_73,Fixed_Amount,32.01,,2025-02-09,2025-02-27,18,Medium_Value,Social,Upsell,Unknown,0.064,2,2,377.46,9,188.73,2,377.46,25785.55,40.06,12892.78,0.0146,Completed,False,False,False,False
74,Retention_Fixed_Amount_74,Fixed_Amount,43.09,51.12,2024-08-25,2024-09-01,7,Lapsed,Website_Banner,Retention,Unknown,0.201,0,0,0.0,0,,0,0.0,4855.81,18.82,,0.0,Completed,False,False,False,False
75,Cross_Sell_Free_Shipping_75,Free_Shipping,0.0,92.68,2024-10-28,2024-11-06,9,Low_Value,In_App,Cross_Sell,Unknown,0.242,0,0,0.0,0,,0,0.0,14556.37,40.2,,0.0,Completed,False,False,False,False
76,Acquisition_Free_Shipping_76,Free_Shipping,0.0,50.26,2025-01-10,2025-02-17,38,Medium_Value,Email,Acquisition,Books,0.077,4,4,686.1,15,171.525,4,686.1,41328.43,38.72,10332.11,0.0166,Completed,False,False,False,False
77,Acquisition_Free_Shipping_77,Free_Shipping,0.0,27.63,2024-07-23,2024-09-13,52,All_Customers,SMS,Acquisition,Clothing,0.202,15,15,2298.28,78,153.21866666666668,15,2298.28,8416.79,46.96,561.12,0.2731,Completed,False,False,False,False
78,Reactivation_BOGO_78,BOGO,0.0,97.5,2025-05-14,2025-07-11,58,Lapsed,Email,Reactivation,Sports,0.078,0,0,0.0,0,,0,0.0,14945.83,26.82,,0.0,Completed,False,False,False,False
79,Reactivation_Free_Shipping_79,Free_Shipping,0.0,0.0,2025-08-18,2025-09-10,23,Low_Value,SMS,Reactivation,Unknown,0.131,0,0,0.0,0,,0,0.0,21501.44,13.64,,0.0,Completed,False,False,False,False
80,Cross_Sell_BOGO_80,BOGO,0.0,10.54,2025-04-19,2025-05-08,19,All_Customers,Push,Cross_Sell,Unknown,0.189,4,4,398.63,21,99.6575,4,398.63,45866.95,39.74,11466.74,0.0087,Completed,False,False,False,False
81,Upsell_BOGO_81,BOGO,0.0,0.0,2024-11-11,2024-11-27,16,Low_Value,Email,Upsell,Home,0.17,1,1,72.17,6,72.17,1,72.17,20669.45,27.45,20669.45,0.0035,Completed,False,False,False,False
82,Reactivation_Percentage_Discount_82,Percentage_Discount,46.7,56.47,2024-10-30,2024-12-16,47,All_Customers,Website_Banner,Reactivation,Unknown,0.078,6,6,1805.86,32,300.9766666666667,6,1805.86,16079.87,22.32,2679.98,0.1123,Completed,False,False,False,False
83,Reactivation_Fixed_Amount_83,Fixed_Amount,79.4,0.0,2024-10-22,2024-12-06,45,Low_Value,Social,Reactivation,Clothing,0.175,4,4,470.49,14,117.6225,4,470.49,15086.65,20.78,3771.66,0.0312,Completed,False,False,False,False
84,Cross_Sell_Percentage_Discount_84,Percentage_Discount,5.4,86.5,2024-09-30,2024-10-12,12,All_Customers,SMS,Cross_Sell,Clothing,0.206,8,8,1303.07,34,162.88375,8,1303.07,8064.75,24.27,1008.09,0.1616,Completed,False,False,False,False
85,Retention_Fixed_Amount_85,Fixed_Amount,34.43,28.5,2025-07-15,2025-08-05,21,Lapsed,Social,Retention,Beauty,0.103,0,0,0.0,0,,0,0.0,42621.87,43.11,,0.0,Completed,False,False,False,False
86,Cross_Sell_Free_Shipping_86,Free_Shipping,0.0,87.54,2025-04-28,2025-05-14,16,All_Customers,Email,Cross_Sell,Books,0.24,5,5,731.17,40,146.234,5,731.17,21392.09,29.07,4278.42,0.0342,Completed,False,False,False,False
87,Upsell_Free_Shipping_87,Free_Shipping,0.0,52.39,2024-10-06,2024-10-18,12,All_Customers,Website_Banner,Upsell,Unknown,0.235,2,2,465.49,13,232.745,2,465.49,19121.5,11.09,9560.75,0.0243,Completed,False,False,False,False
88,Reactivation_Fixed_Amount_88,Fixed_Amount,73.88,97.18,2025-04-17,2025-06-09,53,Low_Value,SMS,Reactivation,Electronics,0.091,4,4,414.44,20,103.61,4,414.44,2794.71,24.34,698.68,0.1483,Completed,False,False,False,False
89,Acquisition_Free_Shipping_89,Free_Shipping,0.0,0.0,2024-10-20,2024-11-13,24,High_Value,SMS,Acquisition,Unknown,0.081,2,2,1390.3,8,695.15,2,1390.3,23254.25,19.91,11627.13,0.0598,Completed,False,False,False,False
90,Upsell_Fixed_Amount_90,Fixed_Amount,21.91,52.63,2025-04-16,2025-05-01,15,Medium_Value,Website_Banner,Upsell,Beauty,0.198,0,0,0.0,0,,0,0.0,28620.47,37.22,,0.0,Completed,False,False,False,False
91,Retention_Free_Shipping_91,Free_Shipping,0.0,65.44,2024-11-13,2024-11-23,10,Medium_Value,Website_Banner,Retention,Unknown,0.136,0,0,0.0,0,,0,0.0,12150.75,10.8,,0.0,Completed,False,False,False,False
92,Acquisition_Fixed_Amount_92,Fixed_Amount,25.24,0.0,2025-05-13,2025-06-29,47,Lapsed,Social,Acquisition,Unknown,0.153,0,0,0.0,0,,0,0.0,17605.65,46.75,,0.0,Completed,False,False,False,False
93,Reactivation_BOGO_93,BOGO,0.0,55.8,2025-02-17,2025-03-03,14,Lapsed,Push,Reactivation,Clothing,0.164,0,0,0.0,0,,0,0.0,36325.3,42.34,,0.0,Completed,False,False,False,False
94,Upsell_Fixed_Amount_94,Fixed_Amount,73.42,11.35,2025-01-31,2025-02-10,10,New_Customer,Email,Upsell,Unknown,0.223,2,2,283.24,6,141.62,2,283.24,8055.02,15.34,4027.51,0.0352,Completed,False,False,False,False
95,Reactivation_Percentage_Discount_95,Percentage_Discount,24.1,32.93,2024-10-08,2024-11-26,49,Low_Value,In_App,Reactivation,Sports,0.182,4,4,433.9,21,108.475,4,433.9,1322.85,19.67,330.71,0.328,Completed,False,False,False,False
96,Reactivation_Fixed_Amount_96,Fixed_Amount,95.81,20.02,2024-11-19,2024-12-08,19,Low_Value,SMS,Reactivation,Unknown,0.25,1,1,38.38,9,38.38,1,38.38,18605.29,42.96,18605.29,0.0021,Completed,False,False,False,False
97,Reactivation_BOGO_97,BOGO,0.0,77.39,2025-02-27,2025-03-19,20,Lapsed,Social,Reactivation,Unknown,0.178,0,0,0.0,0,,0,0.0,7539.65,16.22,,0.0,Completed,False,False,False,False
98,Reactivation_BOGO_98,BOGO,0.0,81.88,2025-05-25,2025-07-18,54,Low_Value,SMS,Reactivation,Unknown,0.245,2,2,132.23,10,66.115,2,132.23,25793.99,31.95,12897.0,0.0051,Completed,False,False,False,False
99,Reactivation_Percentage_Discount_99,Percentage_Discount,6.5,9.17,2024-08-10,2024-09-26,47,Low_Value,In_App,Reactivation,Unknown,0.236,1,1,92.09,5,92.09,1,92.09,19631.17,19.51,19631.17,0.0047,Completed,False,False,False,False
100,Reactivation_BOGO_100,BOGO,0.0,23.22,2025-07-03,2025-08-03,31,Low_Value,Social,Reactivation,Electronics,0.105,0,0,0.0,0,,0,0.0,34801.19,6.69,,0.0,Completed,False,False,False,False
101,Retention_BOGO_101,BOGO,0.0,24.94,2024-09-02,2024-09-17,15,All_Customers,In_App,Retention,Beauty,0.216,1,1,88.02,7,88.02,1,88.02,5234.13,20.27,5234.13,0.0168,Completed,False,False,False,False
102,Cross_Sell_Free_Shipping_102,Free_Shipping,0.0,0.0,2025-02-16,2025-03-03,15,Lapsed,SMS,Cross_Sell,Unknown,0.191,0,0,0.0,0,,0,0.0,1868.43,10.87,,0.0,Completed,False,False,False,False
103,Reactivation_Percentage_Discount_103,Percentage_Discount,11.9,45.66,2024-08-07,2024-09-11,35,Lapsed,SMS,Reactivation,Unknown,0.233,0,0,0.0,0,,0,0.0,41158.42,36.33,,0.0,Completed,False,False,False,False
104,Retention_BOGO_104,BOGO,0.0,16.54,2024-12-30,2025-01-05,6,Low_Value,Social,Retention,Books,0.148,2,2,155.89,21,77.945,2,155.89,48487.2,38.86,24243.6,0.0032,Completed,False,False,False,False
105,Reactivation_Free_Shipping_105,Free_Shipping,0.0,0.0,2024-08-12,2024-09-17,36,Low_Value,Email,Reactivation,Beauty,0.115,4,4,355.57,27,88.8925,4,355.57,32561.12,8.05,8140.28,0.0109,Completed,False,False,False,False
106,Acquisition_BOGO_106,BOGO,0.0,,2024-12-30,2025-01-23,24,Lapsed,SMS,Acquisition,Beauty,0.087,0,0,0.0,0,,0,0.0,15814.98,43.66,,0.0,Completed,False,False,False,False
107,Cross_Sell_Fixed_Amount_107,Fixed_Amount,13.87,,2025-07-03,2025-07-24,21,All_Customers,Website_Banner,Cross_Sell,Home,0.213,0,0,0.0,0,,0,0.0,7571.21,17.16,,0.0,Completed,False,False,False,False
108,Upsell_Fixed_Amount_108,Fixed_Amount,57.8,17.96,2025-01-02,2025-01-05,3,Medium_Value,In_App,Upsell,Beauty,0.243,0,0,0.0,0,,0,0.0,38022.59,17.22,,0.0,Completed,False,False,False,False
109,Acquisition_Free_Shipping_109,Free_Shipping,0.0,31.24,2025-04-02,2025-03-05,28,Lapsed,Email,Acquisition,Home,0.207,0,0,0.0,0,,0,0.0,48258.49,17.31,,0.0,Completed,True,False,False,False
110,Reactivation_Fixed_Amount_110,Fixed_Amount,58.99,15.93,2024-11-29,2024-12-22,23,High_Value,SMS,Reactivation,Unknown,0.183,2,2,498.71,10,249.355,2,498.71,42377.14,21.0,21188.57,0.0118,Completed,False,False,False,False
111,Retention_BOGO_111,BOGO,0.0,0.0,2024-08-22,2024-09-10,19,Lapsed,Website_Banner,Retention,Unknown,0.099,0,0,0.0,0,,0,0.0,32250.2,44.27,,0.0,Completed,False,False,False,False
112,Acquisition_Free_Shipping_112,Free_Shipping,0.0,80.22,2025-02-05,2025-02-28,23,High_Value,SMS,Acquisition,Unknown,0.128,2,2,1109.46,6,554.73,2,1109.46,32244.3,7.61,16122.15,0.0344,Completed,False,False,False,False
